stall_name,food_item,price,latitude,longitude,category,rating,temperature_type
Govinda (26th Block Canteen),Chana Bathura,75,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Chana Puri,75,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Chana Kulcha,75,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Nutri Kulcha,60,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Aloo Prantha,35,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Gobi Prantha,35,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Onion Prantha,35,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Mix Prantha,35,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Paneer Prantha,50,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Poha,40,31.2526267,75.7030746,Breakfast,4.0,Hot
Govinda (26th Block Canteen),Samosa,20,31.2526267,75.7030746,Snack,4.0,Hot
Govinda (26th Block Canteen),Chana Samosa,50,31.2526267,75.7030746,Snack,4.0,Hot
Govinda (26th Block Canteen),Patty,25,31.2526267,75.7030746,Snack,4.0,Hot
Govinda (26th Block Canteen),Bread Pakora,20,31.2526267,75.7030746,Snack,4.0,Hot
Govinda (26th Block Canteen),Maggi,50,31.2526267,75.7030746,Snack,4.0,Hot
Govinda (26th Block Canteen),Veg Maggi,50,31.2526267,75.7030746,Snack,4.0,Hot
Govinda (26th Block Canteen),Aloo Sandwich,30,31.2526267,75.7030746,Snack,4.0,Hot
Govinda (26th Block Canteen),Paneer Sandwich,50,31.2526267,75.7030746,Snack,4.0,Hot
Govinda (26th Block Canteen),Masala Oats,40,31.2526267,75.7030746,Healthy,4.0,Hot
Govinda (26th Block Canteen),Milk Oats,50,31.2526267,75.7030746,Healthy,4.0,Hot
Govinda (26th Block Canteen),Milk Dalia,50,31.2526267,75.7030746,Healthy,4.0,Hot
Govinda (26th Block Canteen),Peanut Butter Banana,50,31.2526267,75.7030746,Healthy,4.0,Cold
Govinda (26th Block Canteen),Tea,15,31.2526267,75.7030746,Beverage,4.0,Hot
Govinda (26th Block Canteen),Coffee,30,31.2526267,75.7030746,Beverage,4.0,Hot
Govinda (26th Block Canteen),Lassi,40,31.2526267,75.7030746,Beverage,4.0,Cold
Govinda (26th Block Canteen),Shakes,60,31.2526267,75.7030746,Beverage,4.0,Cold
Govinda (26th Block Canteen),Normal Thali,90,31.2526267,75.7030746,Lunch,4.0,Hot
Govinda (26th Block Canteen),Special Thali,90,31.2526267,75.7030746,Lunch,4.0,Hot
Govinda (26th Block Canteen),Dal Rice,75,31.2526267,75.7030746,Lunch,4.0,Hot
Govinda (26th Block Canteen),Chana Rice,75,31.2526267,75.7030746,Lunch,4.0,Hot
Govinda (26th Block Canteen),Kari Rice,75,31.2526267,75.7030746,Lunch,4.0,Hot
